ID,到货日期,采购编号,采购名称,商品编号,商品,直播间,主播,到货箱,到货盒,到货包,创建时间
879,2025-11-24,PUSH-1CLM4AT5542,2025-11-17有念头-胶片色纸 恋与深空胶片,GOODS-1LBC23ZE336,?????????? 有念头-胶片色纸 恋与深空胶片,泰国仓库 1,Lin,2,0,0,2025-11-25 19:51:49
878,2025-11-19,PUSH-PQT9K68X439,2025-11-17星栖文创X恋与深空答案之旅镭射票 第一弹,GOODS-E3T4336Y2LM,星栖文创X恋与深空答案之旅镭射票 第一弹,泰国仓库 1,Lin,2,0,0,2025-11-25 19:51:24
877,2025-11-19,PUSH-G93W3714HRQ,2025-11-17名侦探柯南挂件-星绽版-第1弹,GOODS-482HCCD8G14,名侦探柯南挂件-星绽版-第1弹,泰国仓库 1,Lin,0,17,0,2025-11-25 19:50:50
876,2025-11-19,PUSH-595V3W8SQ1Q,2025-11-03totem潮玩恋与深空,GOODS-25QC4FP2U71,?????????? ???????????? totem潮玩恋与深空,泰国仓库 1,Lin,1,0,0,2025-11-25 19:49:45
871,2025-11-21,PUSH-27JQ71Z69NR,2025-10-24迪士尼欢乐盛典系列收藏卡,GOODS-A664O7E74VT,迪士尼欢乐盛典系列收藏卡,泰国仓库 1,Lin,1,0,0,2025-11-22 01:49:46
870,2025-11-21,PUSH-G4B9C8572TW,2025-10-24迪士尼群星运动会系列收藏卡,GOODS-5WHT949E8U8,迪士尼群星运动会系列收藏卡,泰国仓库 1,Lin,0,95,0,2025-11-22 01:49:17
869,2025-11-21,PUSH-HC1F2K1263Y,2025-10-24迪士尼公主魔法童话系列收藏卡,GOODS-7X321Y44HPW,迪士尼公主魔法童话系列收藏卡,泰国仓库 1,Lin,0,6,0,2025-11-22 01:48:54
868,2025-11-21,PUSH-2H29KN85N3V,2025-10-24冰雪奇缘四季流光收藏卡,GOODS-EBK82L4F941,冰雪奇缘四季流光收藏卡,泰国仓库 1,Lin,0,10,0,2025-11-22 01:48:35
867,2025-11-21,PUSH-J6A5577KBA9,2025-10-24米奇纪念版收藏卡奇遇记,GOODS-UO9B46X753M,米奇纪念版收藏卡奇遇记,泰国仓库 1,Lin,1,16,0,2025-11-22 01:48:12
866,2025-11-21,PUSH-25Q5K5F14HC,2025-10-24星际宝贝趣玩版收藏卡,GOODS-9E86SWAE537,星际宝贝趣玩版收藏卡,泰国仓库 1,Lin,0,7,0,2025-11-22 01:47:50
865,2025-11-21,PUSH-U3E1O98B26R,2025-10-24小黄人系列奇趣收藏卡第一弹,GOODS-293F9GH7XB6,小黄人系列奇趣收藏卡第一弹,泰国仓库 1,Lin,0,3,0,2025-11-22 01:47:24
864,2025-11-21,PUSH-K3NW4Q42W68,2025-10-24皮克斯37周年奥斯卡荣誉收藏卡,GOODS-A7KKYL81549,皮克斯37周年奥斯卡荣誉收藏卡,泰国仓库 1,Lin,1,12,0,2025-11-22 01:46:51
863,2025-11-21,PUSH-UT45L71HV29,2025-10-24迪士尼100周年欢乐收藏卡,GOODS-151GSRQ659L,迪士尼100周年欢乐收藏卡,泰国仓库 1,Lin,1,10,0,2025-11-22 01:46:21
862,2025-11-21,PUSH-1T284Z8LCQ7,2025-10-24三丽鸥票根珍藏卡,GOODS-798YYDEF993,三丽鸥票根珍藏卡,泰国仓库 1,Lin,0,13,0,2025-11-22 01:45:36
858,2025-11-19,PUSH-R7X628L37PX,2025-11-06漫卡王x海贼王典藏臻品包第一弹,GOODS-Y44ZQB77O96,?????? ??? 漫卡王x海贼王典藏臻品包第一弹,泰国仓库 1,Lin,1,0,0,2025-11-20 01:54:09
857,2025-11-19,PUSH-31BD3CQ43N5,2025-11-03欧恋文创 恋与深空色纸,GOODS-QF731V1F44L,欧恋文创 恋与深空色纸,泰国仓库 1,Lin,2,0,0,2025-11-19 21:22:19
856,2025-11-19,PUSH-F44FF26D19G,2025-11-03咕咕谷恋与深空,GOODS-2FJ874KL45O,???? love  咕咕谷恋与深空吧唧,泰国仓库 1,Lin,1,0,0,2025-11-19 19:49:02
851,2025-11-19,PUSH-4NB38OS2J25,2025-11-06Bling文创恋与深空,GOODS-Q311D628LYU,Bling文创恋与深空,泰国仓库 1,Lin,1,0,0,2025-11-19 18:05:46
834,2025-11-11,PUSH-Z9J51W15O2E,2025-11-08幻境文创 × 恋与深空撕撕乐,GOODS-J3B653B2GQ4,???????? 幻境文创 × 恋与深空撕撕乐,泰国仓库 1,Lin,1,0,0,2025-11-11 19:28:35
833,2025-11-11,PUSH-E4A9O4L835T,2025-11-08辰星文创名侦探柯南典藏色纸三弹,GOODS-59G57U76REM,辰星文创名侦探柯南典藏色纸三弹,泰国仓库 1,Lin,1,0,0,2025-11-11 17:16:33
827,2025-11-07,PUSH-H28OFW55G77,2025-10-15春风文创鬼灭吧唧第5弹,GOODS-7AY352C8NC6,???????????? ??????????? 春风文创鬼灭吧唧第5弹,泰国仓库 1,Lin,1,0,0,2025-11-08 02:01:07
820,2025-11-06,PUSH-V9S679Y6NT8,2025-10-15光谷文创鬼灭吧唧,GOODS-BU97G914PC2,???????????????? 光谷文创鬼灭吧唧,泰国仓库 1,Lin,1,0,0,2025-11-06 17:44:37
819,2025-11-06,PUSH-VEQU835L358,2025-10-17???? 御卡族鬼灭之刃,GOODS-U6W62Y4E35T,???? 御卡族鬼灭之刃,泰国仓库 1,Lin,2,0,0,2025-11-06 17:44:03
793,2025-10-08,PUSH-6H2VSP737D3,2025-09-15Hellocard美少女战士月之绮梦舞会,GOODS-S2F3Q681JG8,Hellocard美少女战士月之绮梦舞会,泰国仓库 1,Lin,1,0,0,2025-10-28 19:24:29
792,2025-10-08,PUSH-838O77DDTS3,250919采购欧梦鬼灭 1箱,GOODS-F14B6O53W6E,鬼灭之刃,泰国仓库 1,Lin,1,0,0,2025-10-28 19:23:37
772,2025-10-08,PUSH-192K7F4UF1L,250919采购御卡族鬼灭 1箱,GOODS-U6W62Y4E35T,???? 御卡族鬼灭之刃,泰国仓库 1,Lin,1,0,0,2025-10-25 20:17:18
771,2025-10-08,PUSH-61DT27MO46A,250919采购欧漫柯南撕撕乐 1箱,GOODS-W89UV6291EX,欧漫文创柯南撕撕乐第1弹,泰国仓库 1,Lin,1,0,0,2025-10-25 20:15:54
769,2025-10-08,PUSH-SJYVU746527,250919采购羽溯小樱魔法印记 1箱,GOODS-348B4H7EOH1,?????? 羽溯文创魔卡少女樱--时光印记,泰国仓库 1,Lin,1,0,0,2025-10-25 20:05:11
768,2025-10-08,PUSH-Q1PM5M98C38,250919采购bling文创恋与深空色纸 1箱,GOODS-Q311D628LYU,Bling文创恋与深空,泰国仓库 1,Lin,1,0,0,2025-10-25 20:02:46
